substrate,year,dfs_m_,depth_m_
Muck,2017,10,2.6
Rock,2017,5,0.8
Rock,2017,0.5,0.2
Silt,2017,80,4
Sand,2017,60,2.8
Sand,2017,50,2.8
Silt,2017,70,45
Sand,2017,30,2
Sand,2017,5,1.3
Sand,2017,40,2
Sand,2017,10,1.8
Sand,2017,0.5,0.8
Sand,2017,20,2.5
Sand,2017,80,1.7
Sand,2017,70,2.2
Sand,2017,60,2.6
Sand,2017,30,2.2
Sand,2017,40,2.5
Sand,2017,20,5
Sand,2017,10,1.4
Sand,2017,50,2.4
Sand,2017,5,0.8
Sand,2017,0.5,0.2
Sand,2017,5,0.8
Silt,2017,50,11
Sand,2017,10,1
Silt,2017,40,10
Sand,2017,20,1.8
Silt,2017,30,12
Sand,2017,10,0.7
Sand,2017,20,1.3
Sand,2017,30,1
Sand,2017,40,0.7
Sand,2017,50,0.2
Silt,2017,80,10
Silt,2017,70,10
Silt,2017,60,10
Sand,2017,0.5,0.3
Muck,2018,20,1.5
Muck,2018,30,1.6
Muck,2018,40,2
Muck,2018,50,2
Muck,2018,60,2.5
Muck,2018,70,3
Muck,2018,80,0
Silt,2018,20,4.4
Sand,2017,0.5,0.2
Sand,2017,5,0.5
Muck,2018,10,1
Sand,2018,50,2.2
Muck,2018,0.5,0.3
Muck,2018,5,0.7
Muck,2018,10,1
Muck,2018,20,1.2
Muck,2018,5,0.8
Muck,2018,30,1.8
Sand,2018,40,2.1
Muck,2018,0.5,0.1
Silt,2018,20,1.7
Silt,2018,40,2
Silt,2018,30,1.8
Silt,2018,60,2.3
Silt,2018,50,2.2
Silt,2018,80,1.7
Gravel,2018,70,1.7
Sand,2018,70,3.5
Silt,2018,80,5
Sand,2018,60,2.4
Muck,2018,5,0.5
Muck,2018,10,1.2
Muck,2018,0.5,0.2
Silt,2018,80,4
Silt,2018,70,4.8
Gravel,2018,5,0.8
Sand,2018,10,1.6
Sand,2018,20,2
Sand,2018,30,2
Sand,2018,40,3
Silt,2018,50,4
Silt,2018,60,4.3
Gravel,2018,0.5,0.3
Silt,2018,80,3.5
Silt,2018,70,3.5
Silt,2018,60,1.7
Silt,2018,50,2.3
Silt,2018,80,8
Rock,2018,0.5,0.3
Sand,2018,5,2
Sand,2018,10,2.5
Silt,2018,20,3.5
Silt,2018,30,3.8
Silt,2018,40,2.9
Silt,2018,70,6.8
Silt,2018,60,6
Silt,2018,50,0.5
Silt,2018,40,3.5
Silt,2018,30,3
Sand,2018,20,2.5
